Longitud de onda (nm),Absorbancia
445.272,0.329
445.578,0.329
445.884,0.329
446.190,0.329
446.496,0.328
446.802,0.328
447.107,0.33
447.413,0.331
447.718,0.331
448.020,0.332
448.328,0.333
448.633,0.333
448.937,0.333
449.242,0.333
449.546,0.333
449.858,0.332
450.154,0.332
450.458,0.332
450.762,0.331
451.066,0.331
451.369,0.331
451.672,0.331
451.975,0.33
452.278,0.329
452.581,0.328
452.884,0.328
453.186,0.328
453.488,0.328
453.791,0.327
454.093,0.327
454.394,0.326
454.696,0.327
454.998,0.327
455.299,0.327
455.600,0.326
455.901,0.325
456.202,0.324
456.503,0.323
456.803,0.322
457.104,0.322
457.404,0.323
457.704,0.322
458.004,0.321
458.304,0.322
458.604,0.322
458.903,0.321
459.202,0.319
459.502,0.318
459.801,0.316
460.099,0.317
460.398,0.318
460.697,0.319
460.995,0.319
461.293,0.32
461.591,0.319
461.889,0.319
462.187,0.319
462.484,0.319
462.782,0.318
463.079,0.318
463.376,0.317
463.673,0.317
463.970,0.315
464.267,0.313
464.563,0.311
464.860,0.311
465.156,0.31
465.452,0.309
465.748,0.307
466.043,0.307
466.339,0.307
466.634,0.309
466.930,0.308
467.225,0.309
467.520,0.31
467.815,0.309
468.109,0.308
468.404,0.307
468.698,0.306
468.992,0.306
469.287,0.304
469.580,0.303
469.874,0.302
470.168,0.302
470.461,0.302
470.755,0.302
471.048,0.301
471.341,0.303
471.634,0.303
471.927,0.301
472.219,0.3
472.512,0.3
472.804,0.3
473.097,0.301
473.389,0.302
473.681,0.302
473.972,0.301
474.264,0.299
474.556,0.298
474.847,0.299
475.138,0.297
475.430,0.298
475.721,0.298
476.011,0.298
476.302,0.299
476.593,0.298
476.883,0.298
477.174,0.298
477.464,0.297
477.754,0.297
478.044,0.297
478.334,0.296
478.623,0.295
478.913,0.293
479.203,0.293
479.492,0.294
479.781,0.294
480.070,0.296
480.359,0.297
480.648,0.296
480.937,0.297
481.225,0.297
481.514,0.294
481.802,0.291
482.091,0.29
482.379,0.289
482.667,0.29
482.955,0.29
483.242,0.288
483.530,0.286
483.818,0.286
484.105,0.285
484.393,0.284
484.680,0.285
484.967,0.284
485.254,0.282
485.541,0.281
485.828,0.282
486.115,0.282
486.401,0.281
486.688,0.28
486.974,0.28
487.261,0.279
487.547,0.277
487.833,0.277
488.119,0.275
488.405,0.275
488.691,0.276
488.976,0.275
489.262,0.275
489.548,0.274
489.833,0.272
490.118,0.272
490.404,0.273
490.689,0.274
490.974,0.273
491.259,0.273
491.544,0.272
491.829,0.272
492.114,0.272
492.398,0.271
492.683,0.27
492.967,0.271
493.252,0.272
493.536,0.272
493.820,0.271
494.104,0.268
494.389,0.267
494.673,0.267
494.957,0.266
495.240,0.269
495.524,0.27
495.808,0.27
496.092,0.272
496.375,0.273
496.659,0.274
496.942,0.273
497.226,0.27
497.509,0.266
497.792,0.265
498.075,0.266
498.358,0.265
498.641,0.265
498.924,0.265
499.207,0.266
499.490,0.266
499.773,0.268
500.056,0.268
500.338,0.266
500.621,0.266
500.904,0.263
501.186,0.263
501.469,0.261
501.751,0.262
502.033,0.262
502.316,0.262
502.598,0.263
502.880,0.263
503.162,0.262
503.444,0.263
503.726,0.265
504.008,0.265
504.290,0.264
504.572,0.262
504.854,0.262
505.136,0.264
505.417,0.265
505.699,0.262
505.981,0.262
506.263,0.262
506.544,0.261
506.826,0.258
507.107,0.26
507.389,0.263
507.670,0.265
507.952,0.266
508.233,0.265
508.514,0.264
508.796,0.264
509.077,0.264
509.358,0.264
509.639,0.263
509.921,0.266
510.202,0.265
510.483,0.264
510.764,0.262
511.045,0.261
511.326,0.26
511.607,0.26
511.888,0.26
512.169,0.259
512.450,0.261
512.731,0.26
513.012,0.261
513.293,0.262
513.574,0.262
513.855,0.264
514.136,0.263
514.416,0.261
514.697,0.257
514.978,0.257
515.259,0.257
515.545,0.257
515.822,0.258
516.101,0.257
516.382,0.256
516.662,0.255
516.943,0.256
517.224,0.256
517.505,0.255
517.785,0.256
518.066,0.256
518.347,0.255
518.627,0.254
518.908,0.257
519.189,0.259
519.469,0.26
519.758,0.26
520.038,0.261
520.311,0.262
520.592,0.26
520.872,0.259
521.153,0.259
521.434,0.26
521.714,0.26
521.995,0.26
522.276,0.259
522.556,0.258
522.837,0.259
523.118,0.259
523.398,0.259
523.679,0.26
523.960,0.26
524.240,0.262
524.521,0.262
524.802,0.262
525.082,0.263
525.363,0.263
525.644,0.265
525.924,0.265
526.205,0.264
526.486,0.265
526.767,0.265
527.047,0.267
527.328,0.269
527.609,0.271
527.890,0.269
528.171,0.267
528.452,0.266
528.732,0.266
529.013,0.265
529.294,0.265
529.575,0.268
529.856,0.268
530.137,0.269
530.418,0.267
530.699,0.268
530.980,0.271
531.261,0.272
531.542,0.273
531.823,0.271
532.104,0.272
532.385,0.273
532.666,0.275
532.948,0.274
533.229,0.273
533.510,0.272
533.791,0.272
534.073,0.275
534.354,0.276
534.635,0.276
534.916,0.277
535.198,0.277
535.479,0.276
535.761,0.276
536.042,0.276
536.323,0.276
536.605,0.278
536.887,0.279
537.168,0.28
537.450,0.28
537.731,0.281
538.013,0.282
538.295,0.284
538.576,0.284
538.858,0.286
539.140,0.286
539.422,0.288
539.703,0.288
539.985,0.289
540.267,0.291
540.549,0.294
540.831,0.295
541.113,0.296
541.395,0.295
541.677,0.293
541.959,0.291
542.241,0.293
542.523,0.294
542.806,0.0293
543.088,0.293
543.371,0.292
543.652,0.292
543.935,0.295
544.217,0.298
544.500,0.299
544.782,0.297
545.065,0.298
545.347,0.298
545.630,0.299
545.912,0.301
546.195,0.302
546.478,0.302
546.765,0.302
547.043,0.303
547.326,0.305
547.609,0.305
547.891,0.305
548.174,0.306
548.457,0.306
548.740,0.308
549.023,0.309
549.306,0.309
549.589,0.309
549.873,0.309
550.156,0.31
550.439,0.311
550.722,0.312
551.006,0.312
551.289,0.312
551.572,0.313
551.856,0.315
552.139,0.315
552.423,0.315
552.706,0.318
552.991,0.318
553.273,0.318
553.557,0.318
553.841,0.319
554.124,0.32
554.408,0.322
554.692,0.322
554.976,0.324
555.260,0.325
555.544,0.326
555.828,0.329
556.112,0.332
556.396,0.333
556.682,0.334
556.964,0.335
557.248,0.334
557.532,0.335
557.817,0.337
558.101,0.339
558.385,0.339
558.675,0.34
558.954,0.34
559.239,0.342
559.523,0.345
559.808,0.345
560.091,0.347
560.374,0.35
560.665,0.351
560.948,0.352
561.239,0.353
561.517,0.355
561.809,0.356
562.083,0.357
562.371,0.359
562.656,0.362
562.941,0.364
563.226,0.366
563.511,0.367
563.796,0.367
564.081,0.368
564.366,0.37
564.651,0.373
564.937,0.375
565.222,0.377
565.507,0.381
565.793,0.382
566.078,0.384
566.363,0.386
566.649,0.386
566.935,0.386
567.225,0.39
567.506,0.393
567.791,0.395
568.077,0.398
568.363,0.398
568.649,0.399
568.934,0.401
569.224,0.405
569.506,0.408
569.792,0.409
570.078,0.41
570.364,0.411
570.657,0.413
570.936,0.416
571.222,0.417
571.508,0.42
571.794,0.423
572.081,0.427
572.367,0.427
572.653,0.427
572.939,0.43
573.225,0.431
573.512,0.433
573.798,0.435
574.085,0.437
574.371,0.44
574.658,0.441
574.944,0.443
575.231,0.446
575.517,0.45
575.804,0.45
576.091,0.451
576.377,0.452
576.664,0.453
576.950,0.457
577.237,0.46
577.524,0.464
577.811,0.466
578.098,0.467
578.384,0.465
578.671,0.466
578.958,0.468
579.245,0.47
579.532,0.473
579.819,0.475
580.106,0.476
580.393,0.478
580.624,0.477
580.967,0.478
581.255,0.479
581.542,0.481
581.829,0.484
582.116,0.487
582.403,0.49
582.691,0.492
582.978,0.493
583.897,0.498
